"","district_id","account_id","frequency","Date_Account","client_id_owner","client_id_disponent","sex_owner","birth_owner","sex_disponent","birth_disponent","loan_id","Date_Loan","Amount_Loan","Duration_Loan","Payments_Loan","status","Status_Loan","Ord_Insurance","Ord_Insurance_amount","Ord_Household_Payment","Ord_Household_Payment_amount","Ord_Loan_Payment","Ord_Loan_Payment_amount","Ord_Leasing","Ord_Leasing_amount","Ord_Empty","Ord_Empty_amount","owner_card_type","disponent_card_type","owner_card_date","district_name","region","num_inhabitants","municip < 499","municip 500-1999","municip 2000-9999","municip > 10000","num_cities","ratio_urban_inhabitants","avg_salary","unemployment_rate_95","unemployment_rate_96","entrepreneurs","crimes_95","crimes_96","crimes_95_ratio","crimes_96_ratio","entrepreneurs_ratio","Num_Type_Credit","Num_Type_VYBER","Num_Type_Withdrawal","Num_Op_Null","Num_Op_Remittances","Num_Op_Collection","Num_Op_CashCredit","Num_Op_WithdrawalCash","Num_Op_WithdrawalCreditCard","Num_Sym_Null","Num_Sym_Null2","Num_Sym_Pension","Num_Sym_Insurance","Num_Sym_NegBal","Num_Sym_Household","Num_Sym_Statement","Num_Sym_IntDep","Num_Sym_LoanPayment","Balance_in_negative","account_disponent_bin","account_loan_bin"
"1","1",1938,"Monthly",1994-06-25,2354,NA,"M",1967-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,6646,0,0,1,586,0,0,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,110,0,205,54,50,0,56,155,0,162,0,0,0,0,50,49,54,0,0,"0","0"
"2","1",1562,"Monthly",1995-08-30,1894,NA,"F",1947-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1933,0,0,0,0,0,0,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,77,0,101,36,36,40,1,65,0,71,0,0,0,0,36,35,36,0,0,"0","0"
"3","1",7099,"Monthly",1996-08-20,8568,NA,"F",1971-12-03,NA,NA,6450,1998-06-10,234336,48,4882,"OK_not_fin","OK",1,528,1,236,1,4882.5,0,0,1,11766,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,59,6,158,28,79,28,3,85,0,93,24,0,24,0,24,23,28,7,0,"0","1"
"4","1",2316,"Monthly",1997-07-21,2802,NA,"F",1966-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2111,0,0,0,0,2,15,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,42,0,70,17,38,17,8,32,0,45,25,0,0,0,13,12,17,0,0,"0","0"
"5","1",1570,"Monthly",1994-03-12,1903,NA,"F",1939-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2865,0,0,0,0,0,0,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,111,0,152,53,53,57,1,99,0,48,0,57,0,0,53,52,53,0,0,"0","0"
"6","1",10093,"Weekly",1994-07-01,12416,12417,"M",1973-05-30,"F",1974-01-03,7057,1995-10-20,231696,36,6436,"OK","OK",1,7082,1,2762,1,6436,0,0,1,331,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,112,17,341,54,185,54,4,173,0,182,50,0,50,0,49,49,54,36,0,"1","1"
"7","1",775,"Monthly",1994-12-18,927,NA,"M",1974-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1168,0,0,0,0,1,2439,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,99,0,221,48,88,0,51,133,0,141,44,0,0,0,44,43,48,0,0,"0","0"
"8","1",399,"Monthly",1996-08-27,483,NA,"M",1944-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,6009,0,0,1,3090.5,0,0,"1",0,1998-01-05,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,67,14,76,23,21,0,44,62,7,92,0,0,0,0,21,21,23,0,0,"0","0"
"9","1",3606,"Monthly",1996-04-18,4349,4350,"F",1959-08-22,"M",1966-08-20,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"1",0,1998-03-07,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,72,0,71,32,0,0,40,61,10,84,0,0,0,0,0,27,32,0,0,"1","0"
"10","1",3234,"Monthly",1995-09-16,3912,NA,"F",1945-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2659,0,0,0,0,0,0,"0",0,NA,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,0.0711040181650239,0.0822496811078938,0.000138594617383417,89,0,104,39,34,39,11,70,0,86,0,0,0,0,34,34,39,0,0,"0","0"
